,title,rating,date,time,view,text,naver,photo
0,만족,5점,2021-01-13,07:36:37,17,유산균 바꿔가면서 맞는 제품 찾는 중인데 잘못 먹으면 오히려 화장실 잘 못가고 속이 안좋지는데 다행이 저한테 잘 맞는거 같아요 배송도 빨랐어요,1,0
1,개별포장말거 그냥 한달치 나왔음 좋겠음,3점,2021-01-13,07:25:47,12,개별포장말거 그냥 한달치 나왔음 좋겠음,1,1
2,만족,4점,2021-01-13,06:21:19,9,"하루치가 개별포장되어있어 먹기 편해요.
성분&함유량도 나쁘지 않구요.",1,0
3,보통,3점,2021-01-13,05:48:03,10,좋은지 잘모르겠는데 꾸준하게 먹어볼께요,1,0
4,꾸준히 먹고 있는데 좋아요!,5점,2021-01-13,05:00:14,11,꾸준히 먹고 있는데 좋아요!,1,1
5,만족,5점,2021-01-13,04:25:20,10,효과가있으리라믿고 꾸준히먹고있어요,1,0
6,만족,4점,2021-01-13,02:58:47,10,한달먹어본결과~~효과는~~음~~~아직은 잘 모르겠어요~~~쫌더 구매해서 먹어볼예정입니다,1,0
7,만족,5점,2021-01-13,02:36:25,10,"매일 매일 챙겨먹고 하루하루 달라짐이 보여요!
재구매률 뿜뿜입니다!",1,0
8,만족,4점,2021-01-12,06:53:18,11,일어났을때 약간 어 피곤하네 느낌 있을때 먹으면 싹 사라지고 좋아요 먹고나서 피로를 덜느껴요,1,0
9,만족,5점,2021-01-12,06:53:18,10,확실히 먹고 안먹고 차이가 있어요,1,0
10,만족,5점,2021-01-12,06:53:18,10,"항상 배송이 빠르고
이거 먹으면서부터 개선효과 보고있어서 늘 먹던건데 4주분씩 달달이 주문하다가
이벤트떠서 바로 주문했어요!
2달은 걱정없겠어요 굿굿",1,0
11,만족,5점,2021-01-12,06:37:16,11,괜찮은거같아요 잘먹고이써여,1,0
12,만족,4점,2021-01-12,06:13:35,11,간편하게 포장되어 있어 가지고 다니기 유용합니다.,1,0
13,만족,4점,2021-01-12,06:13:35,18,간편하게 포장되어 있어 가지고 다니기 유용합니다.,1,0
14,만족,4점,2021-01-12,06:13:35,7,간편하게 포장되어 있어 가지고 다니기 유용합니다.,1,0
15,만족,4점,2021-01-12,06:13:35,7,간편하게 포장되어 있어 가지고 다니기 유용합니다.,1,0
16,방송 광고보고 삿어요 ㅎㅎ 극찬하던데 저도 효과가 좋앗으면 좋겟어요 ~~  잘 먹을게요,5점,2021-01-12,06:10:57,7,방송 광고보고 삿어요 ㅎㅎ 극찬하던데 저도 효과가 좋앗으면 좋겟어요 ~~  잘 먹을게요,1,1
17,만족,5점,2021-01-12,06:07:01,7,배송도 빠르고 피부가 좋아지거 같아서 꾸준히 먹고 있어요 ㅎㅎ,1,0
