기간,대분류,분류,합계,TV  또는 비디오시청,여행야외나들이,컴퓨터게임인터넷검색 등,휴식,사회활동,운동,문화예술관람,창작적 취미활동,운동경기관람,기타
2010,서울시,서울시,100,48.1,9.5,8.9,8.9,8.7,5.8,4.6,3.3,2.0,0.2
2010,성별,남자,100,46.8,9.0,10.6,8.4,6.9,8.7,3.8,3.2,2.4,0.2
2010,성별,여자,100,49.3,10.0,7.3,9.4,10.5,2.9,5.3,3.5,1.6,0.2
2010,연령별,10대,100,35.2,3.4,30.5,6.7,5.0,7.2,6.0,4.1,1.9,0.2
2010,연령별,20대,100,36.1,10.3,18.4,5.1,7.8,5.5,8.1,5.8,2.7,0.1
2010,연령별,30대,100,45.0,14.1,10.4,6.8,7.6,4.9,5.3,3.5,2.3,0.1
2010,연령별,40대,100,50.5,9.8,4.1,8.5,9.2,7.6,4.3,3.3,2.6,0.2
2010,연령별,50대,100,54.8,8.8,2.1,9.7,10.8,6.8,2.9,2.2,1.7,0.2
2010,연령별,60대 이상,100,59.2,6.5,0.9,15.4,10.1,3.6,1.6,1.5,0.9,0.2
2010,학력별,중졸 이하,100,54.9,4.4,9.1,14.1,8.4,3.7,2.2,1.9,1.1,0.2
2010,학력별,고졸 이하,100,52.9,9.1,6.5,9.6,8.4,4.9,3.5,2.9,1.9,0.2
2010,학력별,전문대 이하,100,44.7,11.6,10.4,6.4,8.2,5.1,6.6,4.1,2.7,0.3
2010,학력별,4년제 이하,100,40.2,12.1,11.1,6.3,9.3,8.3,6.0,4.2,2.4,0.1
2010,학력별,대학원 이상,100,31.0,11.9,7.6,5.4,15.4,17.1,6.5,3.9,1.1,0.1
2010,소득별,100 만원 미만,100,60.0,4.2,3.3,16.1,9.6,2.7,0.9,1.9,1.1,0.3
2010,소득별,100-200만 미만,100,54.1,7.8,6.6,13.4,8.2,2.4,2.4,3.3,1.6,0.2
2010,소득별,200-300만 미만,100,50.6,10.1,9.3,9.3,7.4,4.0,4.5,2.7,1.9,0.1
