기간,대분류,분류,합계,TV  또는 비디오시청,여행야외나들이,컴퓨터게임인터넷검색 등,휴식,사회활동,운동,문화예술관람,창작적 취미활동,운동경기관람,종교활동,기타
2014,서울시,서울시,100,44.6,12.0,6.8,6.3,1.6,6.5,7.3,3.3,3.0,8.5,0.1
2014,성별,남자,100,43.5,11.2,8.5,6.1,1.2,9.2,6.2,3.0,4.4,6.7,0.1
2014,성별,여자,100,45.8,12.8,5.0,6.5,1.9,3.8,8.5,3.7,1.7,10.2,0.1
2014,연령별,10대,100,33.6,5.5,30.0,3.9,0.7,6.1,9.0,4.3,2.3,4.5,-
2014,연령별,20대,100,34.0,13.7,14.1,4.7,1.3,5.6,14.1,4.6,3.5,4.3,0.1
2014,연령별,30대,100,39.6,17.1,6.6,5.7,1.2,6.3,8.8,3.4,4.9,6.3,0.1
2014,연령별,40대,100,46.6,13.3,3.6,7.0,1.5,7.1,6.4,3.0,2.8,8.8,-
2014,연령별,50대,100,48.3,10.9,2.0,7.0,1.7,8.3,5.2,3.2,3.2,10.2,0.1
2014,연령별,60대 이상,100,55.9,7.7,0.9,7.7,2.5,5.4,2.9,2.4,1.3,13.2,0.1
2014,학력별,중졸 이하,100,56.3,5.0,8.5,7.5,1.0,3.5,3.7,2.4,1.0,10.9,0.1
2014,학력별,고졸 이하,100,48.8,11.2,5.0,6.7,1.4,5.8,5.7,2.9,2.5,9.9,0.1
2014,학력별,대졸 이하,100,39.0,14.3,7.5,5.7,1.8,7.6,9.2,3.8,3.9,6.9,-
2014,학력별,대학원 이상,100,25.0,13.1,4.9,4.8,3.2,13.3,15.9,7.2,2.7,9.5,0.4
2014,소득별,100만원 미만,100,68.7,2.3,2.2,6.8,0.4,4.2,1.9,3.1,0.8,9.5,0.2
2014,소득별,100-200만원 미만,100,54.0,6.5,4.5,9.0,1.1,3.4,4.6,2.1,1.1,13.6,0.1
2014,소득별,200-300만원 미만,100,50.2,9.8,6.3,6.3,1.3,5.4,7.2,2.6,3.5,7.2,0.1
2014,소득별,300-400만원 미만,100,44.2,13.8,6.6,6.3,1.6,5.5,7.6,3.4,3.7,7.2,0.1
2014,소득별,400-500만원 미만,100,42.8,12.9,6.8,7.0,1.2,6.4,8.1,3.4,3.2,8.2,-
2014,소득별,500만원 이상,100,38.5,13.6,8.2,5.0,2.2,8.8,8.0,4.0,3.0,8.8,-
2014,혼인상태별,기혼,100,46.2,13.9,2.8,6.7,1.8,7.0,5.8,3.3,3.0,9.3,0.1
2014,혼인상태별,미혼,100,35.4,9.7,18.3,4.3,1.2,6.2,12.5,4.0,3.9,4.5,0.1
2014,혼인상태별,이혼/별거,100,55.8,8.8,2.4,10.6,0.8,4.8,5.4,1.6,1.1,8.5,0.2
2014,혼인상태별,사별,100,59.7,4.7,0.6,8.4,1.4,3.8,2.5,1.8,0.7,16.5,-
2014,지역대분류,도심권,100,45.8,8.6,9.6,5.0,2.4,7.1,7.4,3.1,3.4,7.6,-
2014,지역대분류,동북권,100,45.3,13.3,6.7,2.8,1.5,6.6,6.7,3.3,3.7,10.1,0.1
2014,지역대분류,서북권,100,43.5,8.6,5.7,10.7,2.3,6.8,8.0,4.7,3.1,6.6,-
2014,지역대분류,서남권,100,50.0,11.0,6.2,6.7,1.2,5.4,6.9,2.2,2.3,8.0,0.1
2014,지역대분류,동남권,100,35.5,14.2,7.6,9.4,1.7,7.7,8.7,4.4,2.8,7.9,-
2014,종로구,종로구,100,36.2,10.0,6.3,11.5,0.8,11.4,7.8,2.8,6.3,7.1,-
2014,중구,중구,100,64.2,6.3,6.9,5.2,0.4,3.5,5.8,2.9,2.9,2.0,-
2014,용산구,용산구,100,42.7,8.9,13.3,0.5,4.5,6.1,8.1,3.4,1.6,10.9,-
2014,성동구,성동구,100,49.8,12.7,7.5,0.1,2.3,4.9,5.9,4.3,1.8,10.7,-
2014,광진구,광진구,100,51.2,11.5,5.7,7.5,0.5,5.3,7.5,3.3,3.4,3.8,0.1
2014,동대문구,동대문구,100,53.3,10.9,5.3,0.3,1.3,6.8,6.4,3.8,3.6,8.3,-
